cycle_number,max_capacity_in_Ah,mean_temperature_in_C,max_abs_current_in_A,c_rate,nominal_capacity_Ah,depth_of_discharge,depth_of_charge,anode_material,cathode_material,electrolyte_material,cell_id,SOH,source_file
36,0.8465353,25,4.2002854,4.2002854,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.973676295,NA-ion_270040-3-7-50
37,0.8457222,25,4.2002859,4.2002859,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.972741076,NA-ion_270040-3-7-50
38,0.8451375,25,4.2003269,4.2003269,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.97206856,NA-ion_270040-3-7-50
39,0.8443238,25,4.200295,4.200295,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.971132651,NA-ion_270040-3-7-50
40,0.8436253,25,4.2003107,4.2003107,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.970329243,NA-ion_270040-3-7-50
41,0.8428021,25,4.2003074,4.2003074,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.969382407,NA-ion_270040-3-7-50
42,0.8422205,25,4.2002769,4.2002769,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.968713456,NA-ion_270040-3-7-50
43,0.8416356,25,4.2002831,4.2002831,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.96804071,NA-ion_270040-3-7-50
44,0.8414016,25,4.2002463,4.2002463,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.967771566,NA-ion_270040-3-7-50
45,0.8400036,25,4.2002926,4.2002926,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.9661636,NA-ion_270040-3-7-50
46,0.839421,25,4.2003479,4.2003479,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.9654935,NA-ion_270040-3-7-50
47,0.838608,25,4.2002969,4.2002969,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.964558396,NA-ion_270040-3-7-50
48,0.8379099,25,4.2002826,4.2002826,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.963755448,NA-ion_270040-3-7-50
49,0.8373212,25,4.2002745,4.2002745,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.963078331,NA-ion_270040-3-7-50
50,0.8366172,25,4.2002549,4.2002549,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.962268598,NA-ion_270040-3-7-50
51,0.8361519,25,4.2002702,4.2002702,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.961733414,NA-ion_270040-3-7-50
52,0.8354548,25,4.2002831,4.2002831,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.960931617,NA-ion_270040-3-7-50
53,0.8347574,25,4.200367,4.200367,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.960129475,NA-ion_270040-3-7-50
54,0.8340592,25,4.2003245,4.2003245,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.959326412,NA-ion_270040-3-7-50
55,0.8334755,25,4.2002907,4.2002907,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.958655046,NA-ion_270040-3-7-50
56,0.8327697,25,4.2002964,4.2002964,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.957843242,NA-ion_270040-3-7-50
57,0.832304,25,4.2002845,4.2002845,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.957307599,NA-ion_270040-3-7-50
58,0.8317236,25,4.2002826,4.2002826,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.956640029,NA-ion_270040-3-7-50
59,0.831138,25,4.2002707,4.2002707,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.955966477,NA-ion_270040-3-7-50
60,0.8305506,25,4.2003117,4.2003117,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.955290856,NA-ion_270040-3-7-50
61,0.8298519,25,4.2002907,4.2002907,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.954487218,NA-ion_270040-3-7-50
62,0.8292722,25,4.2002783,4.2002783,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.953820453,NA-ion_270040-3-7-50
63,0.8288,25,4.200294,4.200294,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.953277334,NA-ion_270040-3-7-50
64,0.8282182,25,4.2003031,4.2003031,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.952608153,NA-ion_270040-3-7-50
65,0.82752,25,4.2002935,4.2002935,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.951805091,NA-ion_270040-3-7-50
66,0.8269354,25,4.2002482,4.2002482,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.95113269,NA-ion_270040-3-7-50
67,0.8262358,25,4.2002707,4.2002707,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.950328017,NA-ion_270040-3-7-50
68,0.8261185,25,4.2002783,4.2002783,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.9501931,NA-ion_270040-3-7-50
69,0.8255398,25,4.2002964,4.2002964,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.949527485,NA-ion_270040-3-7-50
70,0.8242543,25,4.2002592,4.2002592,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.948048916,NA-ion_270040-3-7-50
71,0.8236699,25,4.2002482,4.2002482,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.947376745,NA-ion_270040-3-7-50
72,0.8232051,25,4.2002258,4.2002258,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.946842137,NA-ion_270040-3-7-50
73,0.8227392,25,4.2002754,4.2002754,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.946306263,NA-ion_270040-3-7-50
74,0.8226197,25,4.2002935,4.2002935,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.946168815,NA-ion_270040-3-7-50
75,0.8221505,25,4.200263,4.200263,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.945629146,NA-ion_270040-3-7-50
76,0.8211015,25,4.2002258,4.2002258,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.944422597,NA-ion_270040-3-7-50
77,0.820637,25,4.200294,4.200294,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.943888334,NA-ion_270040-3-7-50
78,0.8198225,25,4.2002859,4.2002859,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.942951504,NA-ion_270040-3-7-50
79,0.8192334,25,4.200223,4.200223,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.942273928,NA-ion_270040-3-7-50
80,0.8186535,25,4.2003212,4.2003212,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.941606933,NA-ion_270040-3-7-50
81,0.8184252,25,4.2003212,4.2003212,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.941344344,NA-ion_270040-3-7-50
82,0.8172532,25,4.2002811,4.2002811,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.939996322,NA-ion_270040-3-7-50
83,0.8166711,25,4.2002797,4.2002797,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.939326796,NA-ion_270040-3-7-50
84,0.816202,25,4.200274,4.200274,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.938787242,NA-ion_270040-3-7-50
85,0.8157334,25,4.2002635,4.2002635,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.938248263,NA-ion_270040-3-7-50
86,0.8150328,25,4.2002592,4.2002592,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.93744244,NA-ion_270040-3-7-50
87,0.8145638,25,4.2002344,4.2002344,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.936903001,NA-ion_270040-3-7-50
88,0.8139833,25,4.200254,4.200254,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.936235316,NA-ion_270040-3-7-50
89,0.8136321,25,4.2002673,4.2002673,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.935831369,NA-ion_270040-3-7-50
90,0.8128151,25,4.2002401,4.2002401,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.934891664,NA-ion_270040-3-7-50
91,0.8116487,25,4.2002382,4.2002382,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.933550083,NA-ion_270040-3-7-50
92,0.8111815,25,4.2002816,4.2002816,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.933012714,NA-ion_270040-3-7-50
93,0.8103642,25,4.2002802,4.2002802,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.932072664,NA-ion_270040-3-7-50
94,0.8100154,25,4.2002268,4.2002268,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.931671478,NA-ion_270040-3-7-50
95,0.809549,25,4.2002673,4.2002673,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.931135029,NA-ion_270040-3-7-50
96,0.8087341,25,4.2003074,4.2003074,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.930197739,NA-ion_270040-3-7-50
97,0.8080318,25,4.2002659,4.2002659,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.929389961,NA-ion_270040-3-7-50
98,0.8069801,25,4.200254,4.200254,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.928180307,NA-ion_270040-3-7-50
99,0.8068619,25,4.2002048,4.2002048,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.928044354,NA-ion_270040-3-7-50
100,0.8063933,25,4.2002134,4.2002134,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.927505375,NA-ion_270040-3-7-50
101,0.8055726,25,4.2002249,4.2002249,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.926561414,NA-ion_270040-3-7-50
102,0.8047581,25,4.2002339,4.2002339,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.925624585,NA-ion_270040-3-7-50
103,0.8041709,25,4.200213,4.200213,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.924949193,NA-ion_270040-3-7-50
104,0.8038129,25,4.2001581,4.2001581,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.924537425,NA-ion_270040-3-7-50
105,0.8030004,25,4.2001777,4.2001777,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.923602896,NA-ion_270040-3-7-50
106,0.8021867,25,4.2001662,4.2001662,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.922666987,NA-ion_270040-3-7-50
107,0.8015996,25,4.2001319,4.2001319,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.92199171,NA-ion_270040-3-7-50
108,0.8004311,25,4.200181,4.200181,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.920647713,NA-ion_270040-3-7-50
109,0.7997342,25,4.2001777,4.2001777,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.919846146,NA-ion_270040-3-7-50
110,0.7993859,25,4.2001762,4.2001762,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.919445535,NA-ion_270040-3-7-50
111,0.7989184,25,4.2001896,4.2001896,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.918907821,NA-ion_270040-3-7-50
112,0.798454,25,4.2001925,4.2001925,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.918373673,NA-ion_270040-3-7-50
113,0.7978693,25,4.2002172,4.2002172,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.917701157,NA-ion_270040-3-7-50
114,0.7972868,25,4.2001839,4.2001839,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.917031171,NA-ion_270040-3-7-50
115,0.7963516,25,4.2001839,4.2001839,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.915955514,NA-ion_270040-3-7-50
116,0.7962393,25,4.2001843,4.2001843,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.915826348,NA-ion_270040-3-7-50
117,0.7956521,25,4.200191,4.200191,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.915150956,NA-ion_270040-3-7-50
118,0.7942493,25,4.2002234,4.2002234,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.91353747,NA-ion_270040-3-7-50
119,0.7935551,25,4.2001963,4.2001963,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.912739008,NA-ion_270040-3-7-50
120,0.7929695,25,4.2001719,4.2001719,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.912065457,NA-ion_270040-3-7-50
121,0.7923902,25,4.2001672,4.2001672,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.911399152,NA-ion_270040-3-7-50
122,0.7919214,25,4.200201,4.200201,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.910859943,NA-ion_270040-3-7-50
123,0.7908754,25,4.2002439,4.2002439,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.909656844,NA-ion_270040-3-7-50
124,0.7904076,25,4.2001843,4.2001843,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.909118786,NA-ion_270040-3-7-50
125,0.7902904,25,4.2001748,4.2001748,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.908983983,NA-ion_270040-3-7-50
126,0.7898195,25,4.2002034,4.2002034,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.908442359,NA-ion_270040-3-7-50
127,0.7886589,25,4.2001882,4.2001882,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.907107449,NA-ion_270040-3-7-50
128,0.7884222,25,4.2001605,4.2001605,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.906835199,NA-ion_270040-3-7-50
129,0.7876108,25,4.200233,4.200233,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.905901935,NA-ion_270040-3-7-50
130,0.7867894,25,4.2002177,4.2002177,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.904957169,NA-ion_270040-3-7-50
131,0.7866729,25,4.2002034,4.2002034,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.904823172,NA-ion_270040-3-7-50
132,0.7860872,25,4.2001762,4.2001762,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.904149505,NA-ion_270040-3-7-50
133,0.7851555,25,4.2002034,4.2002034,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.903077873,NA-ion_270040-3-7-50
134,0.7839888,25,4.2002106,4.2002106,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.901735947,NA-ion_270040-3-7-50
135,0.7834042,25,4.2001777,4.2001777,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.901063546,NA-ion_270040-3-7-50
136,0.7830554,25,4.2002249,4.2002249,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.90066236,NA-ion_270040-3-7-50
137,0.7827016,25,4.2002091,4.2002091,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.900255423,NA-ion_270040-3-7-50
138,0.7822369,25,4.2001657,4.2001657,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.899720929,NA-ion_270040-3-7-50
139,0.7810693,25,4.2001553,4.2001553,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.898377968,NA-ion_270040-3-7-50
140,0.780371,25,4.2001839,4.2001839,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.89757479,NA-ion_270040-3-7-50
141,0.7797833,25,4.2001719,4.2001719,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.896898824,NA-ion_270040-3-7-50
142,0.7791975,25,4.2001472,4.2001472,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.896225042,NA-ion_270040-3-7-50
143,0.7789658,25,4.2001839,4.2001839,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.895958543,NA-ion_270040-3-7-50
144,0.7786154,25,4.2002382,4.2002382,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.895555517,NA-ion_270040-3-7-50
145,0.7780387,25,4.2001715,4.2001715,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.894892202,NA-ion_270040-3-7-50
146,0.7765139,25,4.2001691,4.2001691,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.893138393,NA-ion_270040-3-7-50
147,0.7760532,25,4.2001953,4.2001953,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.892608501,NA-ion_270040-3-7-50
148,0.7754702,25,4.2002177,4.2002177,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.89193794,NA-ion_270040-3-7-50
149,0.7750065,25,4.2001896,4.2001896,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.891404597,NA-ion_270040-3-7-50
150,0.7745308,25,4.2001147,4.2001147,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.890857452,NA-ion_270040-3-7-50
151,0.7745316,25,4.2001686,4.2001686,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.890858372,NA-ion_270040-3-7-50
152,0.773249,25,4.2001548,4.2001548,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.889383138,NA-ion_270040-3-7-50
153,0.7727817,25,4.2001734,4.2001734,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.888845655,NA-ion_270040-3-7-50
154,0.7722026,25,4.2001314,4.2001314,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.88817958,NA-ion_270040-3-7-50
155,0.7720811,25,4.2001371,4.2001371,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.888039832,NA-ion_270040-3-7-50
156,0.7714964,25,4.2001748,4.2001748,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.887367316,NA-ion_270040-3-7-50
157,0.7704433,25,4.2001243,4.2001243,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.886156051,NA-ion_270040-3-7-50
158,0.7697497,25,4.2001519,4.2001519,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.885358279,NA-ion_270040-3-7-50
159,0.7691644,25,4.2001519,4.2001519,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.884685073,NA-ion_270040-3-7-50
160,0.7688161,25,4.2001438,4.2001438,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.884284462,NA-ion_270040-3-7-50
161,0.7685814,25,4.2001567,4.2001567,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.884014512,NA-ion_270040-3-7-50
162,0.7677656,25,4.2001243,4.2001243,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.883076187,NA-ion_270040-3-7-50
163,0.7667169,25,4.2001371,4.2001371,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.881869983,NA-ion_270040-3-7-50
164,0.7661296,25,4.2001534,4.2001534,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.881194477,NA-ion_270040-3-7-50
165,0.7657851,25,4.2001505,4.2001505,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.880798236,NA-ion_270040-3-7-50
166,0.7649686,25,4.2001896,4.2001896,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.879859106,NA-ion_270040-3-7-50
167,0.764506,25,4.2001786,4.2001786,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.879327029,NA-ion_270040-3-7-50
168,0.7640338,25,4.2001691,4.2001691,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.878783909,NA-ion_270040-3-7-50
169,0.7635663,25,4.2001467,4.2001467,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.878246195,NA-ion_270040-3-7-50
170,0.7628608,25,4.2001481,4.2001481,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.877434736,NA-ion_270040-3-7-50
171,0.7620494,25,4.2001991,4.2001991,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.876501472,NA-ion_270040-3-7-50
172,0.7617017,25,4.2001743,4.2001743,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.876101551,NA-ion_270040-3-7-50
173,0.7607645,25,4.2001467,4.2001467,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.875023593,NA-ion_270040-3-7-50
174,0.759717,25,4.2001691,4.2001691,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.873818769,NA-ion_270040-3-7-50
175,0.7594793,25,4.2001495,4.2001495,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.873545369,NA-ion_270040-3-7-50
176,0.7586657,25,4.2001371,4.2001371,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.872609575,NA-ion_270040-3-7-50
177,0.7584311,25,4.2001591,4.2001591,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.87233974,NA-ion_270040-3-7-50
178,0.7572643,25,4.2001638,4.2001638,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.870997699,NA-ion_270040-3-7-50
179,0.7565649,25,4.2001719,4.2001719,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.870193256,NA-ion_270040-3-7-50
180,0.7564491,25,4.2001824,4.2001824,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.870060064,NA-ion_270040-3-7-50
181,0.7557536,25,4.2001605,4.2001605,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.869260107,NA-ion_270040-3-7-50
182,0.7546995,25,4.2001467,4.2001467,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.868047692,NA-ion_270040-3-7-50
183,0.7539957,25,4.2001657,4.2001657,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.867238188,NA-ion_270040-3-7-50
184,0.7533004,25,4.2001634,4.2001634,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-7-50,0.866438461,NA-ion_270040-3-7-50
1,0.8943579,25,6.0005164,6.0005164,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
2,0.9005458,25,6.0005288,6.0005288,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
3,0.8997092,25,6.0004816,6.0004816,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
4,0.8988764,25,6.0005074,6.0005074,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
5,0.898374,25,6.0004997,6.0004997,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
6,0.8973735,25,6.0004892,6.0004892,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
7,0.8967036,25,6.0004606,6.0004606,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
8,0.8962056,25,6.0005355,6.0005355,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
9,0.8955415,25,6.0005212,6.0005212,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
10,0.89504,25,6.000494,6.000494,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
11,0.894541,25,6.0004983,6.0004983,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,1,NA-ion_270040-3-8-49
12,0.8938733,25,6.0004921,6.0004921,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.999458159,NA-ion_270040-3-8-49
13,0.8933738,25,6.0004816,6.0004816,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.998899658,NA-ion_270040-3-8-49
14,0.8928728,25,6.0004873,6.0004873,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.998339479,NA-ion_270040-3-8-49
15,0.8923708,25,6.0004869,6.0004869,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.997778183,NA-ion_270040-3-8-49
16,0.8922027,25,6.0004549,6.0004549,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.997590226,NA-ion_270040-3-8-49
17,0.8913701,25,6.0004091,6.0004091,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.996659279,NA-ion_270040-3-8-49
18,0.8908734,25,6.0004387,6.0004387,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.996103909,NA-ion_270040-3-8-49
19,0.8903731,25,6.0004969,6.0004969,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.995544513,NA-ion_270040-3-8-49
20,0.8898738,25,6.0005341,6.0005341,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.994986235,NA-ion_270040-3-8-49
21,0.8893701,25,6.0004387,6.0004387,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.994423038,NA-ion_270040-3-8-49
22,0.8888725,25,6.0004563,6.0004563,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.993866661,NA-ion_270040-3-8-49
23,0.8887054,25,6.0004578,6.0004578,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.993679823,NA-ion_270040-3-8-49
24,0.8880413,25,6.0004907,6.0004907,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.992937279,NA-ion_270040-3-8-49
25,0.887706,25,6.0004935,6.0004935,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.992562374,NA-ion_270040-3-8-49
26,0.8873718,25,6.0004926,6.0004926,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.992188698,NA-ion_270040-3-8-49
27,0.8870415,25,6.0005317,6.0005317,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.991819382,NA-ion_270040-3-8-49
28,0.8865409,25,6.0004568,6.0004568,1,1,1,Unknown,Unknown,Unknown,NA-ion_270040-3-8-49,0.991259651,NA-ion_270040-3-8-49
